"エピソードID","表示順","話数表示","各話タイトル","ファイル名","巻ID","章ID","章数表示","節表示"
"ep-020901","20901","第41話","港を閉じる鐘","ep-020901.txt","v02","c09","第九章","前編"
"ep-020902","20902","第42話","港を閉じる鐘","ep-020902.txt","v02","c09","第九章","後編"
"ep-021001","21001","第43話","帰る船、残る船","ep-021001.txt","v02","c10","第十章","前編"
"ep-021002","21002","第44話","帰る船、残る船","ep-021002.txt","v02","c10","第十章","後編"
"ep-021101","21101","第45話","二番目の旗","ep-021101.txt","v02","c11","第十一章","前編"
"ep-021102","21102","第46話","二番目の旗","ep-021102.txt","v02","c11","第十一章","後編"
"ep-021201","21201","第47話","行ってきますの鐘","ep-021201.txt","v02","c12","第十二章","前編"
"ep-021202","21202","第48話","行ってきますの鐘","ep-021202.txt","v02","c12","第十二章","後編"
"ep-030101","30101","第49話","東風路交換点","ep-030101.txt","v03","c01","第一章","前編"
"ep-030102","30102","第50話","東風路交換点","ep-030102.txt","v03","c01","第一章","後編"
"ep-030201","30201","第51話","四つ目の椅子","ep-030201.txt","v03","c02","第二章","前編"
"ep-030202","30202","第52話","四つ目の椅子","ep-030202.txt","v03","c02","第二章","後編"
"ep-030301","30301","第53話","山に追い越される","ep-030301.txt","v03","c03","第三章","前編"
"ep-030302","30302","第54話","山に追い越される","ep-030302.txt","v03","c03","第三章","後編"
"ep-030401","30401","第55話","ひとつの前しかない町","ep-030401.txt","v03","c04","第四章","前編"
"ep-030402","30402","第56話","ひとつの前しかない町","ep-030402.txt","v03","c04","第四章","後編"
"ep-030501","30501","第57話","十二年前の三日","ep-030501.txt","v03","c05","第五章","前編"
"ep-030502","30502","第58話","十二年前の三日","ep-030502.txt","v03","c05","第五章","後編"
"ep-030601","30601","第59話","三つの足音","ep-030601.txt","v03","c06","第六章","前編"
"ep-030602","30602","第60話","三つの足音","ep-030602.txt","v03","c06","第六章","後編"
"ep-030701","30701","第61話","つなぎすぎた道","ep-030701.txt","v03","c07","第七章","前編"
"ep-030702","30702","第62話","つなぎすぎた道","ep-030702.txt","v03","c07","第七章","後編"
"ep-030801","30801","第63話","一本線の危機","ep-030801.txt","v03","c08","第八章","前編"
"ep-030802","30802","第64話","一本線の危機","ep-030802.txt","v03","c08","第八章","後編"
"ep-030901","30901","第65話","三つの島、四つの役目","ep-030901.txt","v03","c09","第九章","前編"
"ep-030902","30902","第66話","三つの島、四つの役目","ep-030902.txt","v03","c09","第九章","後編"
"ep-031001","31001","第67話","分かれる足音","ep-031001.txt","v03","c10","第十章","前編"
"ep-031002","31002","第68話","分かれる足音","ep-031002.txt","v03","c10","第十章","後編"
"ep-031101","31101","第69話","三番目の旗","ep-031101.txt","v03","c11","第十一章","前編"
"ep-031102","31102","第70話","三番目の旗","ep-031102.txt","v03","c11","第十一章","後編"
"ep-031201","31201","第71話","別々のまっすぐ","ep-031201.txt","v03","c12","第十二章","前編"
"ep-031202","31202","第72話","別々のまっすぐ","ep-031202.txt","v03","c12","第十二章","後編"
"ep-040101","40101","第73話","雨の上へ落ちる","ep-040101.txt","v04","c01","第一章","前編"
"ep-040102","40102","第74話","雨の上へ落ちる","ep-040102.txt","v04","c01","第一章","後編"
"ep-040201","40201","第75話","響路台と五本脚","ep-040201.txt","v04","c02","第二章","前編"
"ep-040202","40202","第76話","響路台と五本脚","ep-040202.txt","v04","c02","第二章","後編"
"ep-040301","40301","第77話","天衡機の四つ目","ep-040301.txt","v04","c03","第三章","前編"
"ep-040302","40302","第78話","天衡機の四つ目","ep-040302.txt","v04","c03","第三章","後編"
"ep-040401","40401","第79話","継承図の町","ep-040401.txt","v04","c04","第四章","前編"
"ep-040402","40402","第80話","継承図の町","ep-040402.txt","v04","c04","第四章","後編"
"ep-040501","40501","第81話","今の村から四枚目","ep-040501.txt","v04","c05","第五章","前編"
"ep-040502","40502","第82話","今の村から四枚目","ep-040502.txt","v04","c05","第五章","後編"
"ep-040601","40601","第83話","十一年前の続き","ep-040601.txt","v04","c06","第六章","前編"
"ep-040602","40602","第84話","十一年前の続き","ep-040602.txt","v04","c06","第六章","後編"
"ep-040701","40701","第85話","名前を返す鐘","ep-040701.txt","v04","c07","第七章","前編"
"ep-040702","40702","第86話","名前を返す鐘","ep-040702.txt","v04","c07","第七章","後編"
"ep-040801","40801","第87話","五十四枚目","ep-040801.txt","v04","c08","第八章","前編"
"ep-040802","40802","第88話","五十四枚目","ep-040802.txt","v04","c08","第八章","後編"
"ep-040901","40901","第89話","一歩手前の道","ep-040901.txt","v04","c09","第九章","前編"
"ep-040902","40902","第90話","一歩手前の道","ep-040902.txt","v04","c09","第九章","後編"
"ep-041001","41001","第91話","四番目の旗","ep-041001.txt","v04","c10","第十章","前編"
"ep-041002","41002","第92話","四番目の旗","ep-041002.txt","v04","c10","第十章","後編"
"ep-041101","41101","第93話","次稿は誰のもの","ep-041101.txt","v04","c11","第十一章","前編"
"ep-041102","41102","第94話","次稿は誰のもの","ep-041102.txt","v04","c11","第十一章","後編"
"ep-041201","41201","第95話","未完成の出航","ep-041201.txt","v04","c12","第十二章","前編"
"ep-041202","41202","第96話","未完成の出航","ep-041202.txt","v04","c12","第十二章","後編"
"ep-050101","50101","第97話","暗い風路で五つ鳴る","ep-050101.txt","v05","c01","第一章","前編"
"ep-050102","50102","第98話","暗い風路で五つ鳴る","ep-050102.txt","v05","c01","第一章","後編"
"ep-050201","50201","第99話","止まれない船団","ep-050201.txt","v05","c02","第二章","前編"
"ep-050202","50202","第100話","止まれない船団","ep-050202.txt","v05","c02","第二章","後編"
"ep-050301","50301","第101話","灯を拾う仕事","ep-050301.txt","v05","c03","第三章","前編"
"ep-050302","50302","第102話","灯を拾う仕事","ep-050302.txt","v05","c03","第三章","後編"
"ep-050401","50401","第103話","星のない船","ep-050401.txt","v05","c04","第四章","前編"
"ep-050402","50402","第104話","星のない船","ep-050402.txt","v05","c04","第四章","後編"
"ep-050501","50501","第105話","返事の間","ep-050501.txt","v05","c05","第五章","前編"
"ep-050502","50502","第106話","返事の間","ep-050502.txt","v05","c05","第五章","後編"
"ep-050601","50601","第107話","今の村から五つ","ep-050601.txt","v05","c06","第六章","前編"
"ep-050602","50602","第108話","今の村から五つ","ep-050602.txt","v05","c06","第六章","後編"
"ep-050701","50701","第109話","星渡り会議","ep-050701.txt","v05","c07","第七章","前編"
"ep-050702","50702","第110話","星渡り会議","ep-050702.txt","v05","c07","第七章","後編"
"ep-050801","50801","第111話","響路士の限界","ep-050801.txt","v05","c08","第八章","前編"
"ep-050802","50802","第112話","響路士の限界","ep-050802.txt","v05","c08","第八章","後編"
"ep-050901","50901","第113話","泊星の手前","ep-050901.txt","v05","c09","第九章","前編"
"ep-050902","50902","第114話","泊星の手前","ep-050902.txt","v05","c09","第九章","後編"
"ep-051001","51001","第115話","名前のない一人","ep-051001.txt","v05","c10","第十章","前編"
"ep-051002","51002","第116話","名前のない一人","ep-051002.txt","v05","c10","第十章","後編"
"ep-051101","51101","第117話","五番目の旗","ep-051101.txt","v05","c11","第十一章","前編"
"ep-051102","51102","第118話","五番目の旗","ep-051102.txt","v05","c11","第十一章","後編"
"ep-051201","51201","第119話","初めて止まる場所","ep-051201.txt","v05","c12","第十二章","前編"
"ep-051202","51202","第120話","初めて止まる場所","ep-051202.txt","v05","c12","第十二章","後編"
"ep-060101","60101","第121話","空の折り目へ刺さる","ep-060101.txt","v06","c01","第一章","前編"
"ep-060102","60102","第122話","空の折り目へ刺さる","ep-060102.txt","v06","c01","第一章","後編"
"ep-060201","60201","第123話","旗だらけの岸","ep-060201.txt","v06","c02","第二章","前編"
"ep-060202","60202","第124話","旗だらけの岸","ep-060202.txt","v06","c02","第二章","後編"
"ep-060301","60301","第125話","響きは鏡にならない","ep-060301.txt","v06","c03","第三章","前編"
"ep-060302","60302","第126話","響きは鏡にならない","ep-060302.txt","v06","c03","第三章","後編"
"ep-060401","60401","第127話","裏へ送る一歩","ep-060401.txt","v06","c04","第四章","前編"
"ep-060402","60402","第128話","裏へ送る一歩","ep-060402.txt","v06","c04","第四章","後編"
"ep-060501","60501","第129話","十三年前の落岸","ep-060501.txt","v06","c05","第五章","前編"
"ep-060502","60502","第130話","十三年前の落岸","ep-060502.txt","v06","c05","第五章","後編"
"ep-060601","60601","第131話","一歩手前の実験","ep-060601.txt","v06","c06","第六章","前編"
"ep-060602","60602","第132話","一歩手前の実験","ep-060602.txt","v06","c06","第六章","後編"
"ep-060701","60701","第133話","閉岸評議","ep-060701.txt","v06","c07","第七章","前編"
"ep-060702","60702","第134話","閉岸評議","ep-060702.txt","v06","c07","第七章","後編"
"ep-060801","60801","第135話","向こう側からの第一歩","ep-060801.txt","v06","c08","第八章","前編"
"ep-060802","60802","第136話","向こう側からの第一歩","ep-060802.txt","v06","c08","第八章","後編"
"ep-060901","60901","第137話","一番が多すぎる","ep-060901.txt","v06","c09","第九章","前編"
"ep-060902","60902","第138話","一番が多すぎる","ep-060902.txt","v06","c09","第九章","後編"
"ep-061001","61001","第139話","中央の空白","ep-061001.txt","v06","c10","第十章","前編"
"ep-061002","61002","第140話","中央の空白","ep-061002.txt","v06","c10","第十章","後編"
"ep-061101","61101","第141話","両岸の返事","ep-061101.txt","v06","c11","第十一章","前編"
"ep-061102","61102","第142話","両岸の返事","ep-061102.txt","v06","c11","第十一章","後編"
"ep-061201","61201","第143話","世界の果てから始まる","ep-061201.txt","v06","c12","第十二章","前編"
"ep-061202","61202","第144話","世界の果てから始まる","ep-061202.txt","v06","c12","第十二章","後編"
"ep-070101","70101","第145話","七回着いて、まだ着かない","ep-070101.txt","v07","c01","第一章","前編"
"ep-070102","70102","第146話","七回着いて、まだ着かない","ep-070102.txt","v07","c01","第一章","後編"
"ep-070201","70201","第147話","終わらない朝の港","ep-070201.txt","v07","c02","第二章","前編"
"ep-070202","70202","第148話","終わらない朝の港","ep-070202.txt","v07","c02","第二章","後編"
"ep-070301","70301","第149話","到着札三千二百枚","ep-070301.txt","v07","c03","第三章","前編"
"ep-070302","70302","第150話","到着札三千二百枚","ep-070302.txt","v07","c03","第三章","後編"
"ep-070401","70401","第151話","古い声と、生きた返事","ep-070401.txt","v07","c04","第四章","前編"
"ep-070402","70402","第152話","古い声と、生きた返事","ep-070402.txt","v07","c04","第四章","後編"
"ep-070501","70501","第153話","第七帰航隊の名簿","ep-070501.txt","v07","c05","第五章","前編"
"ep-070502","70502","第154話","第七帰航隊の名簿","ep-070502.txt","v07","c05","第五章","後編"
"ep-070601","70601","第155話","セナの最後の命令","ep-070601.txt","v07","c06","第六章","前編"
"ep-070602","70602","第156話","セナの最後の命令","ep-070602.txt","v07","c06","第六章","後編"
"ep-070701","70701","第157話","終わりを決める会議","ep-070701.txt","v07","c07","第七章","前編"
"ep-070702","70702","第158話","終わりを決める会議","ep-070702.txt","v07","c07","第七章","後編"
"ep-070801","70801","第159話","夕方を知らない子ども","ep-070801.txt","v07","c08","第八章","前編"
"ep-070802","70802","第160話","夕方を知らない子ども","ep-070802.txt","v07","c08","第八章","後編"
"ep-070901","70901","第161話","大連灯式","ep-070901.txt","v07","c09","第九章","前編"
"ep-070902","70902","第162話","大連灯式","ep-070902.txt","v07","c09","第九章","後編"
"ep-071001","71001","第163話","ここまでの音","ep-071001.txt","v07","c10","第十章","前編"
"ep-071002","71002","第164話","ここまでの音","ep-071002.txt","v07","c10","第十章","後編"
"ep-071101","71101","第165話","夜明け前の灯","ep-071101.txt","v07","c11","第十一章","前編"
"ep-071102","71102","第166話","夜明け前の灯","ep-071102.txt","v07","c11","第十一章","後編"
"ep-071201","71201","第167話","次の最初の一歩","ep-071201.txt","v07","c12","第十二章","前編"
"ep-071202","71202","第168話","次の最初の一歩","ep-071202.txt","v07","c12","第十二章","後編"
"ep-080101","80101","第169話","雲に履かれる","ep-080101.txt","v08","c01","第一章","前編"
"ep-080102","80102","第170話","雲に履かれる","ep-080102.txt","v08","c01","第一章","後編"
"ep-080201","80201","第171話","八番目の町","ep-080201.txt","v08","c02","第二章","前編"
"ep-080202","80202","第172話","八番目の町","ep-080202.txt","v08","c02","第二章","後編"
"ep-080301","80301","第173話","後ろから届く修正","ep-080301.txt","v08","c03","第三章","前編"
"ep-080302","80302","第174話","後ろから届く修正","ep-080302.txt","v08","c03","第三章","後編"
"ep-080401","80401","第175話","先頭塔の食卓","ep-080401.txt","v08","c04","第四章","前編"
"ep-080402","80402","第176話","先頭塔の食卓","ep-080402.txt","v08","c04","第四章","後編"
"ep-080501","80501","第177話","十年前の二つの一歩","ep-080501.txt","v08","c05","第五章","前編"
"ep-080502","80502","第178話","十年前の二つの一歩","ep-080502.txt","v08","c05","第五章","後編"
"ep-080601","80601","第179話","先頭を受け取りたい人","ep-080601.txt","v08","c06","第六章","前編"
"ep-080602","80602","第180話","先頭を受け取りたい人","ep-080602.txt","v08","c06","第六章","後編"
"ep-080701","80701","第181話","後ろへ落ちる","ep-080701.txt","v08","c07","第七章","前編"
"ep-080702","80702","第182話","後ろへ落ちる","ep-080702.txt","v08","c07","第七章","後編"
"ep-080801","80801","第183話","八つの返事","ep-080801.txt","v08","c08","第八章","前編"
"ep-080802","80802","第184話","八つの返事","ep-080802.txt","v08","c08","第八章","後編"
"ep-080901","80901","第185話","誰かの一歩のあと","ep-080901.txt","v08","c09","第九章","前編"
"ep-080902","80902","第186話","誰かの一歩のあと","ep-080902.txt","v08","c09","第九章","後編"
"ep-081001","81001","第187話","八番目の旗","ep-081001.txt","v08","c10","第十章","前編"
"ep-081002","81002","第188話","八番目の旗","ep-081002.txt","v08","c10","第十章","後編"
"ep-081101","81101","第189話","八つの足音","ep-081101.txt","v08","c11","第十一章","前編"
"ep-081102","81102","第190話","八つの足音","ep-081102.txt","v08","c11","第十一章","後編"
"ep-081201","81201","第191話","次の最初","ep-081201.txt","v08","c12","第十二章","前編"
"ep-081202","81202","第192話","次の最初","ep-081202.txt","v08","c12","第十二章","後編"
"ep-090101","90101","第193話","根に飲まれる船","ep-090101.txt","v09","c01","第一章","前編"
"ep-090102","90102","第194話","根に飲まれる船","ep-090102.txt","v09","c01","第一章","後編"
"ep-090201","90201","第195話","前しかない町","ep-090201.txt","v09","c02","第二章","前編"
"ep-090202","90202","第196話","前しかない町","ep-090202.txt","v09","c02","第二章","後編"
"ep-090301","90301","第197話","古い地図の町","ep-090301.txt","v09","c03","第三章","前編"
"ep-090302","90302","第198話","古い地図の町","ep-090302.txt","v09","c03","第三章","後編"
"ep-090401","90401","第199話","後ろ向きの食卓","ep-090401.txt","v09","c04","第四章","前編"
"ep-090402","90402","第200話","後ろ向きの食卓","ep-090402.txt","v09","c04","第四章","後編"
"ep-090501","90501","第201話","九年前の裂け目","ep-090501.txt","v09","c05","第五章","前編"
"ep-090502","90502","第202話","九年前の裂け目","ep-090502.txt","v09","c05","第五章","後編"
"ep-090601","90601","第203話","貫通式","ep-090601.txt","v09","c06","第六章","前編"
"ep-090602","90602","第204話","貫通式","ep-090602.txt","v09","c06","第六章","後編"
"ep-090701","90701","第205話","捨て脈","ep-090701.txt","v09","c07","第七章","前編"
"ep-090702","90702","第206話","捨て脈","ep-090702.txt","v09","c07","第七章","後編"
"ep-090801","90801","第207話","前送を終える","ep-090801.txt","v09","c08","第八章","前編"
"ep-090802","90802","第208話","前送を終える","ep-090802.txt","v09","c08","第八章","後編"
"ep-090901","90901","第209話","九つの向き","ep-090901.txt","v09","c09","第九章","前編"
"ep-090902","90902","第210話","九つの向き","ep-090902.txt","v09","c09","第九章","後編"
"ep-091001","91001","第211話","九叉心","ep-091001.txt","v09","c10","第十章","前編"
"ep-091002","91002","第212話","九叉心","ep-091002.txt","v09","c10","第十章","後編"
"ep-091101","91101","第213話","九番目の旗","ep-091101.txt","v09","c11","第十一章","前編"
"ep-091102","91102","第214話","九番目の旗","ep-091102.txt","v09","c11","第十一章","後編"
"ep-091201","91201","第215話","戻る一歩も前へ","ep-091201.txt","v09","c12","第十二章","前編"
"ep-091202","91202","第216話","戻る一歩も前へ","ep-091202.txt","v09","c12","第十二章","後編"
"ep-100101","100101","第217話","雨の向かうほう","ep-100101.txt","v10","c01","第一章","前編"
"ep-100102","100102","第218話","雨の向かうほう","ep-100102.txt","v10","c01","第一章","後編"
"ep-100201","100201","第219話","余滴蔵","ep-100201.txt","v10","c02","第二章","前編"
"ep-100202","100202","第220話","余滴蔵","ep-100202.txt","v10","c02","第二章","後編"
"ep-100301","100301","第221話","十本の雨桁","ep-100301.txt","v10","c03","第三章","前編"
"ep-100302","100302","第222話","十本の雨桁","ep-100302.txt","v10","c03","第三章","後編"
"ep-100401","100401","第223話","連標網の十番目","ep-100401.txt","v10","c04","第四章","前編"
"ep-100402","100402","第224話","連標網の十番目","ep-100402.txt","v10","c04","第四章","後編"
"ep-100501","100501","第225話","返雨評議","ep-100501.txt","v10","c05","第五章","前編"
"ep-100502","100502","第226話","返雨評議","ep-100502.txt","v10","c05","第五章","後編"
"ep-100601","100601","第227話","十人乗り","ep-100601.txt","v10","c06","第六章","前編"
"ep-100602","100602","第228話","十人乗り","ep-100602.txt","v10","c06","第六章","後編"
"ep-100701","100701","第229話","繰上枡","ep-100701.txt","v10","c07","第七章","前編"
"ep-100702","100702","第230話","繰上枡","ep-100702.txt","v10","c07","第七章","後編"
"ep-100801","100801","第231話","食い違う雨札","ep-100801.txt","v10","c08","第八章","前編"
"ep-100802","100802","第232話","食い違う雨札","ep-100802.txt","v10","c08","第八章","後編"
"ep-100901","100901","第233話","十重返雨式","ep-100901.txt","v10","c09","第九章","前編"
"ep-100902","100902","第234話","十重返雨式","ep-100902.txt","v10","c09","第九章","後編"
"ep-101001","101001","第235話","十個の部屋","ep-101001.txt","v10","c10","第十章","前編"
"ep-101002","101002","第236話","十個の部屋","ep-101002.txt","v10","c10","第十章","後編"
"ep-101101","101101","第237話","雨算長の報告","ep-101101.txt","v10","c11","第十一章","前編"
"ep-101102","101102","第238話","雨算長の報告","ep-101102.txt","v10","c11","第十一章","後編"
"ep-101201","101201","第239話","十の次の一","ep-101201.txt","v10","c12","第十二章","前編"
"ep-101202","101202","第240話","十の次の一","ep-101202.txt","v10","c12","第十二章","後編"
"ep-110101","110101","第241話","帰り道を追い越す","ep-110101.txt","v11","c01","第一章","前編"
"ep-110102","110102","第242話","帰り道を追い越す","ep-110102.txt","v11","c01","第一章","後編"
"ep-110201","110201","第243話","到着日の十三枚目","ep-110201.txt","v11","c02","第二章","前編"
"ep-110202","110202","第244話","到着日の十三枚目","ep-110202.txt","v11","c02","第二章","後編"
"ep-110301","110301","第245話","帰路の一歩手前","ep-110301.txt","v11","c03","第三章","前編"
"ep-110302","110302","第246話","帰路の一歩手前","ep-110302.txt","v11","c03","第三章","後編"
"ep-110401","110401","第247話","ただいまが言えない","ep-110401.txt","v11","c04","第四章","前編"
"ep-110402","110402","第248話","ただいまが言えない","ep-110402.txt","v11","c04","第四章","後編"
"ep-110501","110501","第249話","四人の現在","ep-110501.txt","v11","c05","第五章","前編"
"ep-110502","110502","第250話","四人の現在","ep-110502.txt","v11","c05","第五章","後編"
"ep-110601","110601","第251話","帰る練習","ep-110601.txt","v11","c06","第六章","前編"
"ep-110602","110602","第252話","帰る練習","ep-110602.txt","v11","c06","第六章","後編"
"ep-110701","110701","第253話","時間が道になる","ep-110701.txt","v11","c07","第七章","前編"
"ep-110702","110702","第254話","時間が道になる","ep-110702.txt","v11","c07","第七章","後編"
"ep-110801","110801","第255話","昔のままの朝","ep-110801.txt","v11","c08","第八章","前編"
"ep-110802","110802","第256話","昔のままの朝","ep-110802.txt","v11","c08","第八章","後編"
"ep-110901","110901","第257話","十三か所の崩落","ep-110901.txt","v11","c09","第九章","前編"
"ep-110902","110902","第258話","十三か所の崩落","ep-110902.txt","v11","c09","第九章","後編"
"ep-111001","111001","第259話","受取人のいる一歩","ep-111001.txt","v11","c10","第十章","前編"
"ep-111002","111002","第260話","受取人のいる一歩","ep-111002.txt","v11","c10","第十章","後編"
"ep-111101","111101","第261話","ただいま","ep-111101.txt","v11","c11","第十一章","前編"
"ep-111102","111102","第262話","ただいま","ep-111102.txt","v11","c11","第十一章","後編"
"ep-111201","111201","第263話","旗を置いた朝","ep-111201.txt","v11","c12","第十二章","前編"
"ep-111202","111202","第264話","旗を置いた朝","ep-111202.txt","v11","c12","第十二章","後編"
